District,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
Mirpurkhas,Mirpurkhas-I,NA-226,Mr Mohamad Rizwan,Mohajar Qaumi Movement Pakistan,565,115311,2519,117830,261129,45.1
Mirpurkhas,Mirpurkhas-I,NA-226,Mr Muzzaffar Ali Leghari,Pakistan Muslim League(F),4127,115311,2519,117830,261129,45.1
Mirpurkhas,Mirpurkhas-I,NA-226,Moulana Mushtaque Ahmed Naqshbandi,Muttahidda Majlis-e-Amal,5610,115311,2519,117830,261129,45.1
Mirpurkhas,Mirpurkhas-II,NA-227,Chaudhary Mohammad Aslam Gill,Independent,172,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Dr Naeem Ahmed Khan,Pakistan Muslim League(F),2736,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Syed Irfan Ali Shah,Independent,223,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Syed Qurban Ali Shah,Pakistan peoples Party Parlimentarians,56627,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Shah Nawaz,National Alliance,11526,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Shabbir Ahmed Qaim Khani,Muttahida Qaumi Moment,21117,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Ali Hassan Khan Qaim Khani,Pakistan Awami Tehreek,36,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Fatehyab Ali Khan,Pakistan Mazdoor Kissan Party,54,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Gulab Khan Qaim Khani Advocate,Independent,53,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Muhammad Asad Ali Khan Junejo,Independent,112,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mr Mohammed Umer Khan Qaim Khani Advocate,Muttahidda Majlis-e-Amal,3149,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mukhdoom Shah Nawaz,Pakistan Muslim League(N),10850,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-II,NA-227,Mukhdoom Atta Hussain,Independent,189,106907,3331,110238,259929,42.4
Mirpurkhas,Mirpurkhas-III,NA-228,Syed Ali Mardan Shah,Independent,2107,111243,2999,114242,261464,43.7
Mirpurkhas,Mirpurkhas-III,NA-228,Mr Abdul Munaim Khan,Pakistan Muslim League(N),490,111243,2999,114242,261464,43.7
Mirpurkhas,Mirpurkhas-III,NA-228,Mr Ghulam Mustafa Wahid,Muttahida Qaumi Moment,842,111243,2999,114242,261464,43.7
Mirpurkhas,Mirpurkhas-III,NA-228,Mr Kishan Chand Perwani,National Alliance,48905,111243,2999,114242,261464,43.7
Mirpurkhas,Mirpurkhas-III,NA-228,Mr Muhammad Essa Nagori,Pakistan Tehreek-e-Insaf,704,111243,2999,114242,261464,43.7
Mirpurkhas,Mirpurkhas-III,NA-228,Nawab Muhammad Yousuf Talpur,Pakistan peoples Party Parlimentarians,58161,111243,2999,114242,261464,43.7
Tharparkar,Tharparkar-I,NA-229,Mr Arbab Ghulam Rahim,National Alliance,86196,122560,3054,125614,250983,50
Tharparkar,Tharparkar-I,NA-229,Mr Allah Rakhio,Independent,193,122560,3054,125614,250983,50
Tharparkar,Tharparkar-I,NA-229,Engineer Gianchand,Independent,1382,122560,3054,125614,250983,50
Tharparkar,Tharparkar-I,NA-229,Mr Gul Muhammad Lot,Pakistan Peoples Party Parliamentarians,34342,122560,3054,125614,250983,50
Tharparkar,Tharparkar-I,NA-229,Mr Gumansingh,Independent,13,122560,3054,125614,250983,50
Tharparkar,Tharparkar-II,NA-230,Pir Imdad Ali Shah Jilani,Pakistan peoples Party Parlimentarians,36785,97547,4157,101704,212494,47.9
Tharparkar,Tharparkar-II,NA-230,Pir Gul Muhammad Shah,Independent,503,97547,4157,101704,212494,47.9
Tharparkar,Tharparkar-II,NA-230,Mr Ghulam Hyder Samejo,National Alliance,59639,97547,4157,101704,212494,47.9
Tharparkar,Tharparkar-II,NA-230,Mr Ghulam Muhammad Lot,Independent,248,97547,4157,101704,212494,47.9
Tharparkar,Tharparkar-II,NA-230,Mr Muhammad Malook,Independent,21,97547,4157,101704,212494,47.9
Dadu,Dadu-I,NA-231,Syed Jalal Mehmood,Independent,39320,120746,2422,123168,340793,36.1
Dadu,Dadu-I,NA-231,Syed Zain-Ul-Abdin,Independent,174,120746,2422,123168,340793,36.1
Dadu,Dadu-I,NA-231,Shaikh Israil,IndeIndependentdent,275,120746,2422,123168,340793,36.1
Dadu,Dadu-I,NA-231,Mr Ali Nawaz Shoro,Muttahida Qaumi Moment,4035,120746,2422,123168,340793,36.1
Dadu,Dadu-I,NA-231,Mr Mohammad Suleman Bhalai,Pakistan Peoples Party(Sheed Bhutto),135,120746,2422,123168,340793,36.1
Dadu,Dadu-I,NA-231,Nawab Abdul Ghani Talpur,Pakistan peoples Party Parlimentarians,76568,120746,2422,123168,340793,36.1
Dadu,Dadu-II,NA-232,Mr Asghar Ali Panhwar,Independent,247,100873,2628,103501,277302,37.3
Dadu,Dadu-II,NA-232,Mr Bashir Ahmed Chana,Independent,448,100873,2628,103501,277302,37.3
Dadu,Dadu-II,NA-232,Mr Hussain Bux Solangi Advocate,Muttahida Qaumi Moment,1249,100873,2628,103501,277302,37.3
Dadu,Dadu-II,NA-232,Mr Rafique Ahmed Jamali,Pakistan peoples Party Parlimentarians,56814,100873,2628,103501,277302,37.3
Dadu,Dadu-II,NA-232,Mr Zafar Ali Bhand,Pakistan Muslim League(N),133,100873,2628,103501,277302,37.3
Dadu,Dadu-III,NA-233,Mr Talat Iqbal Mahessar,Independent,269,115441,1829,117270,329858,35.6
Dadu,Dadu-III,NA-233,Mr Liaqat Ali Jatoi,Pakistan Mulim League(QA),62388,115441,1829,117270,329858,35.6
Sanghar,Sanghar-I,NA-234,Mian Aijaz Ahmed Shafi,Pakistan Muslim League(N),24474,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Mr Abid Hussain Rind,Pakistan peoples Party Parlimentarians,9165,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Mr Abdul Malik Shar,Muttahida Qaumi Moment,4441,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Haji Ali Akber Bughti,Jamhoori Wattan Party,1888,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Haji Khuda Bux Rajar,Independent,184,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Mr Hussain Bux Nizamani,Independent,139,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Mr Amjad Ghori,Mohajar Qaumi Movement Pakistan,125,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Raja Liaquat Ali,Independent,77,102298,4061,106359,242471,43.9
Sanghar,Sanghar-I,NA-234,Mr Saddiq Ali Leghari,Independent,64,102298,4061,106359,242471,43.9
Sanghar,Sanghar-II,NA-235,Dr Taj Muhammad ,Muttahida Qaumi Moment,1609,103472,2341,105813,230238,46
Sanghar,Sanghar-II,NA-235,Qazi Abdul Qudus Rajar,Pakistan Muslim League(F),61671,103472,2341,105813,230238,46
Sanghar,Sanghar-II,NA-235,Mr Mujeebullah Hinjorjo,Independent,92,103472,2341,105813,230238,46
Sanghar,Sanghar-II,NA-235,Mr Muhammad Asad Ali Khan Junejo,Independent,34888,103472,2341,105813,230238,46
Sanghar,Sanghar-III,NA-236,Mr Fida Hussain Dero,Pakistan peoples Party Parlimentarians,56628,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Muhammad Hashim Chandio,Muttahida Qaumi Moment,8413,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Muhammad Rizwan Khan,Mohajar Qaumi Movement Pakistan,661,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Sikandar Hayat Dero,Independent,159,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Abdul Rahmam Thahim,Independent,113,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Ghulam Murtaza Junejo,Independent,58,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Mukhtiar Ali Shoro,Independent,58,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Mr Ghulam Muhammad,Independent,53,132706,1045,133751,290977,46
Sanghar,Sanghar-III,NA-236,Dr Abdullah Rind,Independent,20,132706,1045,133751,290977,46
Thatta,Thatta-I,NA-237,Syed Ayaz Ali Shah Sheerazi,Pakistan Mulim League(QA),57195,117291,4216,121507,329639,36.9
Thatta,Thatta-I,NA-237,Syed Mehar Ali Shah,Muttahida Qaumi Moment,3606,117291,4216,121507,329639,36.9
Thatta,Thatta-I,NA-237,Moulvi Ahmed Alias Abu Al-Ashraf Soomro,Muttahidda Majlis-e-Amal,2874,117291,4216,121507,329639,36.9
Thatta,Thatta-II,NA-238,Mr Muhammad Ahsan Nuhrio,Pakistan Tehreek-e-Insaf,472,116369,2770,119139,286897,41.5
Thatta,Thatta-II,NA-238,Mr Muhammad Ali Malkani,Pakistan Mulim League(QA),70233,116369,2770,119139,286897,41.5
Thatta,Thatta-II,NA-238,Mr Muhammad Younis Bhan,Pakistan Peoples Party(Sheed Bhutto),243,116369,2770,119139,286897,41.5
Thatta,Thatta-II,NA-238,Molvi Abdul Ghafoor Qassmi,Muttahidda Majlis-e-Amal,4699,116369,2770,119139,286897,41.5
Karachi,Karachi-I,NA-239,Mr Iftikhar Hussain,Pakistan peoples Party Parlimentarians,21461,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Ashiq Hussain Qureshi,Muttahida Qaumi Moment,11199,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Akhtar Pervaiz,Pakistan Mulim League(QA),4527,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mian Ejaz Ahmad Shaffi,Pakistan Muslim League(N),3871,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Muhammad Qasim Sherazi,Pak Muslim Alliance,3621,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Amanullah Paracha,Pakistan Tehreek-e-Insaf,2824,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Syed Zia Abbas,National Alliance,1797,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Dr M Hanif Khan,Awami National Party,1136,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Saadullah Khan,Pakistan Freedom Party,533,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Muhammad Aijaz Ul Haq,Pakistan Muslim League(Z),366,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Syed Hafeez ud Din,Independent,281,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Dr S M Hussain,Independent,222,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Mohammad Hanif,Independent,113,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Lal Badshan,Independent,103,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Saleem Zia,Independent,86,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Mushahid Ullah Khan,Independent,82,74450,1323,75773,228031,33.2
Karachi,Karachi-I,NA-239,Mr Mohammad Tariq Afridi,Independent,64,74450,1323,75773,228031,33.2
Karachi,Karachi-II,NA-240,Mr Aurangzeib Ghori,Independent,20,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Bashir Ahmed Mangnejo ,Independent,40,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Dr Iqtidar Hussain,Awami National Party,1815,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Sarkaruddin Advocate,Muttahida Qaumi Moment,30408,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Syed Haider Abbas Rizvi,Independent,39,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Shamim Minhas,Independent,124,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr K S Mujahid Khan Baloch,Pakistan Mulim League(QA),6090,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mian Ejaz Shafi,Pakistan Muslim League(N),2124,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Muhammad Islam,Independent,90,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Muhammad Iftikhar Ahmed Bhatti,Sunni Tehreek,6063,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Muhammad Buksh Baloch,Pakistan Peoples Party(Sheed Bhutto),985,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Mr Muhammad Buksh Lashari @ Bakshan Baloch,Pakistan peoples Party Parlimentarians,15374,86444,892,87336,222359,39.3
Karachi,Karachi-II,NA-240,Moulana Shireen Muhammad,Muttahidda Majlis-e-Amal,22764,86444,892,87336,222359,39.3
Karachi,Karachi-III,NA-241,Mr M Gulzar Ahmed Khaliqui,Independent,87,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Dr Muhammad Ismail,Independent,88,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Syed Shahid Ali Advocate,Mohajar Qaumi Movement Pakistan,649,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Aqil Khan,National Alliance,408,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Abdul Qayyum Khan Advocate,Pakistan peoples party(Sherpao),331,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Ali Asghar Khan Sawati,Pakistan Tehreek-e-Insaf,583,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Feroze Uddin Rehmani,Muttahida Qaumi Moment,26333,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Lt Commander ® Raza Hussain Shah,Independent,69,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Muhammad Afaque Khan Shahid,Pakistan peoples Party Parlimentarians,6264,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Muhammad Laeeq Khan,Muttahidda Majlis-e-Amal,26812,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Muhammad Momin Khan,Qaumi Jamhoori Party,46,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mirza Shakeel Arman Baig,Sunni Tehreek,2360,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Muzaffar Ahmed Hashmi,Independent,24,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Naeem Gul Advocate,Awami National Party,5953,73634,924,74558,201562,37
Karachi,Karachi-III,NA-241,Mr Wazirzada Afridi,Pakistan Muslim League(N),2470,73634,924,74558,201562,37
Karachi,Karachi-IV,NA-242,Mr Khanzadah Imran,Pakistan Mulim League(QA),1165,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Dr Muhammad Shakir Alam,Pakistan peoples Party Parlimentarians,6593,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Saifullah,Pakistan Awami Tehreek,584,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Saifullah Khan,Independent,62,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Abdul Hameed,Sunni Tehreek,5312,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Abdul Ghafoor,PAK MUSLIM ALLIANCE,3299,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Muhammad Ishaq Hijazi,Mohajar Qaumi Movement Pakistan,239,98243,1092,99335,221227,44.9
Karachi,Karachi-IV,NA-242,Mr Muhammad Abdul Rauf Siddiqui,Muttahida Qaumi Moment,62690,98243,1092,99335,221227,44.9
Karachi,Karachi-V,NA-243,Mr Badar Iqbal,Pakistan Mulim League(QA),2580,93893,108,94001,250670,37.5
Karachi,Karachi-V,NA-243,Hafiz Fazal Karim,Pakistan Tehreek-e-Insaf,568,93893,108,94001,250670,37.5
Karachi,Karachi-V,NA-243,Mr Sultan Ahmed Khan,Muttahida Qaumi Moment,62245,93893,108,94001,250670,37.5
Karachi,Karachi-V,NA-243,Mr Muhammad Iftikhar Ahmed Bhatti,Sunni Tehreek,6911,93893,108,94001,250670,37.5
Karachi,Karachi-V,NA-243,Mr Muhammad Saleemuddin Qureshi Advocate,Muttahidda Majlis-e-Amal,13105,93893,108,94001,250670,37.5
Karachi,Karachi-V,NA-243,Mr Muhammad Shahid,Independent,93,93893,108,94001,250670,37.5
Karachi,Karachi-VI,NA-244,Mr Javed Jabbar,National Alliance,2057,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Mr Khalid Masood Khan,Pakistan Tehreek-e-Insaf,1068,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Dr Meiraj-Ul-Huda Siddiqui,Muttahidda Majlis-e-Amal,28559,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Riffat Jabeen Qureshi,Pakistan Muslim League(N),220,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Syed Haider Abbas Rizvi,Muttahida Qaumi Moment,54101,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Syed Shahenshah Ali Jafri,Pakistan peoples Party Parlimentarians,1590,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Mr Abdul Waheed Qureshi Advocate,Mohajar Qaumi Movement Pakistan,185,95221,27,95248,236700,40.2
Karachi,Karachi-VI,NA-244,Mr Muhammad Idrees,Pak Muslim Alliance,300,95221,27,95248,236700,40.2
Karachi,Karachi-VII,NA-245,Eng Cap ® Muhammad Haseen,Pakistan peoples Party Parlimentarians,3232,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Mr Hameedullah Khan,Pakistan Muslim League(N),1182,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Syed Munawwar Hassan,Muttahidda Majlis-e-Amal,41947,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Mr Tariq Hussain Sidqui,Pakistan Mulim League(QA),595,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Mr Qamar Niaz,Mohajar Qaumi Movement Pakistan,229,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Mr Kanwer Khalid Younus,Muttahida Qaumi Moment,51696,102481,1106,103587,255754,40.5
Karachi,Karachi-VII,NA-245,Mr Naheed Afzal Khan Advocate,Pakistan Tehreek-e-Insaf,2883,102481,1106,103587,255754,40.5
Karachi,Karachi-VIII,NA-246,Mr Altaf Hussain Qadri Babi,Sunni Tehreek,3840,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Hassan Yar Khan Bilal Advocate,Independent,67,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Khalid Ali Shanshah,Pakistan peoples Party Parlimentarians,3075,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Rashid Naseem,Muttahidda Majlis-e-Amal,32879,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Zahid Sultan Khan,Independent,558,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Salman Ahmed Khan,Independent,75,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Shamsher Ahmad Khan Advocate,Mohajar Qaumi Movement Pakistan,962,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Haji Aziz Ullah,Muttahida Qaumi Moment,53134,97128,837,97965,261736,37.4
Karachi,Karachi-VIII,NA-246,Mr Naisra Athar,Pakistan Mulim League(QA),2322,97128,837,97965,261736,37.4
Karachi,Karachi-IX,NA-247,Hafiz Muhammad Taqi,Muttahidda Majlis-e-Amal,26526,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Dr Ameer Ahmed,Pakistan Tehreek-e-Insaf,1023,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Syed Masood Hussain,Pakistan peoples Party Parlimentarians,3581,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Syed Mushahid Hussain,Independent,112,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Shaikh Muhammad Nisar,Independent,130,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Mr Abdul Samad Qureshi,Independent,36,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Mr Mohammad Farhat Hussain Saddqui,Sunni Tehreek,3559,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Mr Mehtab Khan,Mohajar Qaumi Movement Pakistan,232,87099,1203,88302,243006,36.3
Karachi,Karachi-IX,NA-247,Mr Nadir Ali Khan,Pakistan Mulim League(QA),336,87099,1203,88302,243006,36.3
Karachi,Karachi-X,NA-248,Professor Ali Muhammad Shaheen Korai,National Alliance,2174,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Chaudhary Muhammad Misbahuz Zaman,IndeIndependentdentE,81,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Haji Muhammd Hanif Tayyab,Nizam-e-Mustafa Party,54,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Mr Khalid Ayaz,Pakistan Mulim League(QA),556,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Dr Qari Naseeruddin Sawati,Muttahidda Majlis-e-Amal,14700,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Mr Sohrab Nizamani,Muttahida Qaumi Moment,4825,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Syed Azeem Ali Shah,Mohajar Qaumi Movement Pakistan,144,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Shaikh Maqsood Ahmed,Pakistan Muslim League(N),3363,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Mr Abdul Karim nakshbandi,Sunni Tehreek,7882,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Mr Muhammad Ashfaq,Pakistan Tehreek-e-Insaf,985,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Malik Muhammad Fayyaz,Independent,147,71494,1100,72594,225479,32.2
Karachi,Karachi-X,NA-248,Mr Nabeel Ahmed Gabol,Pakistan peoples Party Parlimentarians,32424,71494,1100,72594,225479,32.2
Karachi,Karachi-XI,NA-249,Haji Muhammad Hanif Tayyab,Nizam-e-Mustafa Party,50,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Sarkar-Ud-Din,Independent,43,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Amir Liaquat Hussain,Muttahida Qaumi Moment,30458,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Abdul Habib Memon,Pakistan peoples Party Parlimentarians,22708,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Abdul Majeed Noorani (Mewa wala),Muttahidda Majlis-e-Amal,22973,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Muhammad Iftikhar Ahmed Bhatti Qadri,Sunni Tehreek,7500,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Muhammad Tahir,Independent,41,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Mehmood Memon,Pakistan Awami Tehreek,313,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mirza Muhammad Ishtiaq Baig,Independent,74,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Mr Muneer Ahmed,Independent,155,85681,900,86581,250626,34.5
Karachi,Karachi-XI,NA-249,Moulana Muhammad Asghar Dars,Pakistan Tehreek-e-Insaf,1335,85681,900,86581,250626,34.5
Karachi,Karachi-XII,NA-250,Mr S M Altaf,Pakistan Mazdoor Kissan Party,44,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr M A Wajid Jawad,Pakistan Mulim League(QA),4718,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Khalid Kamal,Independent,83,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Dr Mirza Ikhtiar Baig,Pakistan peoples Party Parlimentarians,12105,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Raja Arif Sultan Minhas,Independent,16,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Syed Javed Umer,Sunni Tehreek,1226,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Syed Kamal Shah,Pakistan Tehreek-e-Insaf,3176,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Tahir Sharif Khan,Independent,47,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Abdul Sattar Afghani,Muttahidda Majlis-e-Amal,21462,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mrs Surriya Rahim Advocate,Tehrik-e-Istaqlal,144,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Mamnoon Hussain,Pakistan Muslim League(N),5565,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Nazir Ibrahim Shaikh,Mohajar Qaumi Movement Pakistan,150,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Nasreen Jalil,Muttahida Qaumi Moment,19414,68283,952,69235,205400,33.7
Karachi,Karachi-XII,NA-250,Mr Noor Mohammad,Independent,69,68283,952,69235,205400,33.7
Karachi,Karachi-XIII,NA-251,Dr S M Zameer,Pakistan Awami Tehreek,626,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Dr Mohammad Ali Imran,Independent,578,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Raja Gul Nawaz Khan Advocate,Independent,150,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Zahid Khan,Independent,24,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Sultan Ahmed Chawlla,Pakistan Mulim League(QA),4148,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Syeed Safwan ullah,Muttahida Qaumi Moment,23856,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Syed Tariq Ali Hashmi,Independent,88,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Syed Mohammd Sohail,Nizam-e-Mustafa Party,26,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Syed Marghoob Hussain,Independent,20,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Abdul Razzak,Independent,100,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Abdul Ghaffar Umer Kapadia,Muttahidda Majlis-e-Amal,22045,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Qaiser Khan Nizamani,Pakistan peoples Party Parlimentarians,8347,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Mehboob Ali Rajput,Mohajar Qaumi Movement Pakistan,2399,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Muhammad Arshad Khan,Independent,35,77719,119,77838,210491,37
Karachi,Karachi-XIII,NA-251,Mr Muhammad Ashraf Memon,Pakistan Tehreek-e-Insaf,1576,77719,119,77838,210491,37
